"ID","X","Y","SIGLA_PAIS","UC","Garimpo+5k","CD_MUN","NM_MUN","UF","Bacia Hidr","Reg ANAC","CIAD"
1080,-50.782131,-7.425567,"BRA",,"NÃO",1501253,"Bannach","PA","Xingu","SIM","PA0288"
1857,-54.342811,-11.765176,"BRA",,"NÃO",5108303,"União do Sul","MT","Xingu","NÃO",
47,-52.571536,-4.610234,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
265,-53.400643,-12.003867,"BRA",,"NÃO",5107065,"Querência","MT","Xingu","NÃO",
275,-52.80701,-12.855371,"BRA",,"NÃO",5102702,"Canarana","MT","Xingu","NÃO",
618,-52.435885,-6.519774,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
2582,-52.094725,-11.670798,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","SIM","MT0144"
1449,-54.106393,-12.535679,"BRA",,"NÃO",5106307,"Paranatinga","MT","Xingu","SIM","MT0641"
1477,-52.219154,-11.424759,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","SIM","MT0244"
1540,-53.452961,-10.167487,"BRA",,"NÃO",5106422,"Peixoto de Azevedo","MT","Xingu","NÃO",
32,-52.210952,-5.60632,"BRA",,"SIM",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
599,-54.072478,-6.197578,"BRA","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
223,-54.016362,-9.744981,"BRA",,"NÃO",5105606,"Matupá","MT","Xingu","SIM","MT0697"
597,-54.366997,-5.451837,"BRA","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
633,-53.615621,-5.779508,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
2065,-52.540967,-10.322841,"BRA",,"NÃO",5107743,"Santa Cruz do Xingu","MT","Xingu","NÃO",
588,-53.998432,-4.821003,"BRA","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
269,-53.144528,-12.961594,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","NÃO",
2584,-52.736285,-11.650993,"BRA",,"NÃO",5107065,"Querência","MT","Xingu","SIM","MT0140"
1829,-51.446689,-8.334747,"BRA",,"NÃO",1502764,"Cumaru do Norte","PA","Xingu","SIM","PA0094"
2805,-54.982089,-13.54621,"BRA",,"NÃO",5106240,"Nova Ubiratã","MT","Xingu","NÃO",
58,-54.820988,-7.344482,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
1356,-54.233885,-14.131297,"BRA",,"NÃO",5106307,"Paranatinga","MT","Xingu","SIM","MT0508"
60,-54.388919,-7.24123,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","NÃO",
1353,-52.933665,-13.994487,"BRA",,"NÃO",5100201,"Água Boa","MT","Xingu","SIM","MT0123"
1466,-52.507514,-11.479902,"BRA",,"NÃO",5107859,"São Félix do Araguaia","MT","Xingu","NÃO",
220,-54.052918,-9.581647,"BRA",,"NÃO",5105606,"Matupá","MT","Xingu","NÃO",
40,-51.76417,-5.945705,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
2010,-53.650505,-13.346351,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","SIM","MT0597"
2008,-54.097068,-13.468855,"BRA",,"NÃO",5106307,"Paranatinga","MT","Xingu","SIM","MT0227"
135,-52.935713,-7.090933,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
634,-53.330778,-5.872679,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
2175,-53.585641,-10.326103,"BRA",,"NÃO",5106422,"Peixoto de Azevedo","MT","Xingu","SIM","MT0167"
619,-53.437012,-6.310529,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
124,-51.858321,-8.17394,"BRA",,"NÃO",1505437,"Ourilândia do Norte","PA","Xingu","NÃO",
627,-53.636084,-5.666404,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
280,-52.858222,-12.950935,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","NÃO",
1445,-52.569581,-13.155403,"BRA",,"NÃO",5102702,"Canarana","MT","Xingu","SIM","MT0265"
1863,-54.066737,-12.615507,"BRA",,"NÃO",5106307,"Paranatinga","MT","Xingu","NÃO",
592,-54.245069,-5.679321,"BRA","ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO","NÃO",1500602,"Altamira","PA","Xingu","SIM","PA0067"
625,-53.693963,-5.945907,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1500602,"Altamira","PA","Xingu","NÃO",
762,-54.983737,-6.621926,"BRA",,"NÃO",1500602,"Altamira","PA","Xingu","SIM","PA0167"
1467,-52.120242,-12.370453,"BRA",,"NÃO",5107065,"Querência","MT","Xingu","SIM","MT0789"
647,-52.451236,-6.494248,"BRA","ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU","NÃO",1507300,"São Félix do Xingu","PA","Xingu","NÃO",
1856,-54.101618,-12.136604,"BRA",,"NÃO",5103700,"Feliz Natal","MT","Xingu","NÃO",
119,-52.657994,-7.459891,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","SIM","PA0052"
261,-53.216608,-12.349955,"BRA",,"NÃO",5103858,"Gaúcha do Norte","MT","Xingu","NÃO",
1181,-51.442417,-6.539045,"BRA",,"NÃO",1507300,"São Félix do Xingu","PA","Xingu","SIM","PA0246"
