ID,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOMESC,ENDESC,NUMESC,COMPLEND,ENDERECO,BAIESC,CODCEP,FONE1,FONE2,EMAIL,ED_DIRETOR,DIRETORIA,DRE,ED_ZONA,ZONA,CODESC,CODESCMEC,COD_EOL,ED_DEPADM,DEPADM,ED_TIPO,TIPO,ED_CATEG,CATEG,ALCRECHE,ALPRE,ALEE,AL9INI,AL9FIN,ALEM,ALPROF,ALEJAFUND,ALEJAEM,AL_TOTAL,CLCRECHE,CLPRE,CLEE,CL9INI,CL9FIN,CLEM,CLPROF,CLEJAFUND,CLEJAEM,CL_TOTAL,x,y
1293,355030896000019,3550308005259,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,CR P CONV TURMA DA MAFALDA,CORREGO BONITO,9,C,CORREGO BONITO,JARDIM GUAIANAZES,08440030,25135900,,,19909,Guaianases,,1,URBANA,,35006742,309471,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,102,0,0,0,0,0,0,0,0,102,11,0,0,0,0,0,0,0,0,11,-46.41462554960239,-23.535197011770613
1294,355030863000107,3550308005310,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,CEI INDIR JARDIM IRIS,RAIMUNDO PEREIRA DE MAGALHAES,2200,,RAIMUNDO PEREIRA DE MAGALHAES,JARDIM IRIS,05145000,26672322,,,19921,Pirituba,,1,URBANA,,35006752,400874,3,MUNICIPAL,303,CEI INDIR,1,ESCOLAS AUTONOMAS,185,0,0,0,0,0,0,0,0,185,16,0,0,0,0,0,0,0,0,16,-46.72016300459825,-23.503065978585187
1295,355030863000204,3550308005113,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,CR P CONV ALEGRIA DE APRENDER E CRIAR,RIBEIRAO VERMELHO,527,,RIBEIRAO VERMELHO,VILA BOACAVA,05170000,39049559,,,19921,Pirituba,,1,URBANA,,35006753,309472,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,103,0,0,0,0,0,0,0,0,103,9,0,0,0,0,0,0,0,0,9,-46.747258376495175,-23.48238967794891
1296,355030896000016,3550308005260,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,CR P CONV GOVERNADOR MARIO COVAS,GENERAL AMERICANO FREIRE,353,,GENERAL AMERICANO FREIRE,GUAIANAZES,08440300,29611650,,,19909,Guaianases,,1,URBANA,,35006754,309473,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,106,0,0,0,0,0,0,0,0,106,12,0,0,0,0,0,0,0,0,12,-46.4119927607213,-23.539157790566367
1297,355030825000286,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CR P CONV JARDIM SANTA ETELVINA,TERESA MARIA CARINI,16,,TERESA MARIA CARINI,CIDADE TIRADENTES,08471150,25584994,,,19909,Guaianases,,1,URBANA,,35006755,309474,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,79,0,0,0,0,0,0,0,0,79,8,0,0,0,0,0,0,0,0,8,-46.39717663202114,-23.602277365328067
1298,355030896000134,3550308005259,96,LAJEADO,28,GUAIANASES,Leste,Leste 2,CR P CONV IZABEL RIBEIRO,JERONIMO PEDROSO BARROS,48,,JERONIMO PEDROSO BARROS,JARDIM LOURDES,08452420,25629799,,,19909,Guaianases,,1,URBANA,,35006756,309475,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,56,0,0,0,0,0,0,0,0,56,8,0,0,0,0,0,0,0,0,8,-46.395981358576826,-23.525206020679708
1299,355030818000001,3550308005137,18,CANGAIBA,21,PENHA,Leste,Leste 1,CR P CONV REI DAVI,RAIMUNDO MATTIUZZO,777,,RAIMUNDO MATTIUZZO,VILA ARAGUAIA,03735000,23615453,,,19918,Penha,,1,URBANA,,35006759,309477,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,186,51,0,0,0,0,0,0,0,237,17,2,0,0,0,0,0,0,0,19,-46.52008497708997,-23.506039083694272
1300,355030819000168,3550308005297,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CR P CONV PAZ E ESPERANCA II,CAPITAO JOSE CERQUEIRA LEITE,385,,CAPITAO JOSE CERQUEIRA LEITE,PARQUE FERNANDA,05888020,58253334,,,19903,Campo Limpo,,1,URBANA,,35006760,309478,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,161,0,0,0,0,0,0,0,0,161,17,0,0,0,0,0,0,0,0,17,-46.79392763683011,-23.67302875573597
1301,355030895000029,3550308005110,95,SAO DOMINGOS,02,PIRITUBA-JARAGUA,Norte,Norte 2,ESC PART VIDA E E I B,RUA BENEDITO DA FONSECA RONDON,247,,RUA BENEDITO DA FONSECA RONDON,JD STO ELIAS,05136160,39069108,,,19921,Pirituba,,1,URBANA,,35006763,309486,4,PRIVADA,499,EP,1,ESCOLAS AUTONOMAS,18,10,0,0,0,0,0,0,0,28,4,2,0,0,0,0,0,0,0,6,-46.74909966536024,-23.503396215203814
1302,355030866000084,3550308005002,66,REPUBLICA,09,SE,Centro,Centro,CR P CONV SAO DOMINGOS,SAO DOMINGOS,39,51,SAO DOMINGOS,BELA VISTA,01326000,32420960,,,19910,Ipiranga,,1,URBANA,,35006764,309479,3,MUNICIPAL,306,CR.P.CONV,1,ESCOLAS AUTONOMAS,258,0,0,0,0,0,0,0,0,258,27,0,0,0,0,0,0,0,0,27,-46.64258343709649,-23.55298875886667
